rok;okrsek;strana;pocet_hlasu_abs;pocet_hlasu_perc
2010;37;Věci veřejné (VV);205;2.32
2010;66;Suverenita-blok J.Bobošíkové;263;2.16
2002;52;Občanská demokratická strana;4626;35.16
2014;2008;Úsvit přímé demokracie;129;1.55
2014;3002;Pard. pro lidi a Souk SsČR,PPL;108;1.29
2018;3004;PRO Zdraví a Sport;42;0.50
2006;49;Česká str.sociálně demokrat.;3334;25.16
2010;57;Komunistická str.Čech a Moravy;1800;7.53
2014;1004;Úsvit přímé demokracie;14;0.17
2018;2016;Česká pirátská strana;751;7.72
2002;5;Strana za životní jistoty;23;0.27
2002;71;Sdružení pro Pardubice;1505;12.11
2002;10;Česká str.sociálně demokrat.;2097;21.38
2006;91;Sdružení pro Pardubice;506;24.19
2014;1013;Pard. pro lidi a Souk SsČR,PPL;34;0.37
2014;2005;Naše Pardubice, FairPlay,NK;11;0.15
2014;1004;TOP 09 a nezávislí;416;4.97
2018;2015;Občanská demokratická strana;1055;9.66
2014;7002;TOP 09 a nezávislí;897;7.29
2014;7006;Sdružení pro Pard. - SNK ED,NK;231;9.28
2014;4005;Česká str.sociálně demokrat.;1013;7.40
2006;64;Sdružení pro Pardubice;1333;15.96
2018;1002;Občanská demokratická strana;1650;21.77
2010;76;Volte Pr.Blok www.cibulka.net;5;0.05
2018;3005;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.09
2018;1021;Občanská demokratická strana;1268;10.83
2010;24;PARDUBÁCI;1017;10.68
2010;30;PARDUBÁCI;512;4.40
2006;5;Komunistická str.Čech a Moravy;1200;15.26
2014;2012;Pard. pro lidi a Souk SsČR,PPL;99;1.15
2002;13;Nezávislí Pardubičtí kandidáti;191;1.81
2002;90;NEZÁVISLÍ;205;2.53
2006;67;Koal.pro Pard.,KDU-ČSL+Nestran;566;4.63
2006;55;Koal.pro Pard.,KDU-ČSL+Nestran;694;5.27
2006;11;Koal.pro Pard.,KDU-ČSL+Nestran;649;5.09
2006;74;Česká str.sociálně demokrat.;1975;21.57
2006;76;Koal.pro Pard.,KDU-ČSL+Nestran;382;3.94
2002;82;Strana za životní jistoty;48;0.41
2014;7001;Česká str.sociálně demokrat.;1499;9.39
2010;47;Občanská demokratická strana;2315;16.37
2014;5013;NEZÁVISLÍ;34;0.57
2018;3012;NAŠE PARDUBICE;762;5.26
2006;71;Občanská demokratická strana;5574;41.32
2006;79;Zelená pro Pardubice;588;8.30
2002;64;Naděje;122;1.49
2018;1002;Pardubice pro lidi;303;4.00
2010;20;Komunistická str.Čech a Moravy;771;7.74
2002;11;NEZÁVISLÍ;429;3.28
2006;65;NEZ.DEMOKRATÉ(předs.V.Železný);7;0.08
2014;5003;Česká str.sociálně demokrat.;981;16.01
2010;81;Občanská demokratická strana;2030;11.49
2006;12;Koruna Česká (monarch.strana);8;0.06
2014;3010;Naše Pardubice, FairPlay,NK;352;3.06
2006;84;Zelená pro Pardubice;99;2.50
2010;16;Volte Pr.Blok www.cibulka.net;15;0.17
2010;5;Suverenita-blok J.Bobošíkové;119;1.45
2014;2003;Občanská demokratická strana;1018;10.04
2018;2002;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.19
2014;4001;Sdružení pro Pard. - SNK ED,NK;2059;9.63
2014;5004;Pard. pro lidi a Souk SsČR,PPL;48;0.68
2018;3004;Pardubáci společně;899;10.62
2018;7006;ANO 2011;1205;26.86
2010;21;Komunistická str.Čech a Moravy;948;7.57
2018;2006;Česká pirátská strana;739;7.05
2018;3005;ANO 2011;3654;22.95
2018;1013;Pardubice pro lidi;210;2.02
2018;6006;Komunistická str.Čech a Moravy;125;4.38
2014;3009;Strana zelených;491;5.87
2014;1007;Česká str.sociálně demokrat.;917;13.58
2014;1005;NEZÁVISLÍ;144;2.05
2010;43;Strana Práv Občanů ZEMANOVCI;481;3.62
2010;9;Suverenita-blok J.Bobošíkové;156;1.53
2002;36;Pravý Blok;18;0.17
2006;46;Koal.pro Pard.,KDU-ČSL+Nestran;695;5.10
2018;6004;ČSSD a nestran. pro Pardubice;479;3.36
2014;4004;TOP 09 a nezávislí;336;5.82
2006;59;Česká str.sociálně demokrat.;1656;13.19
2014;6003;PARDUBÁCI,Sdružení ČSR, NK;990;6.59
2010;76;Strana Práv Občanů ZEMANOVCI;258;2.77
2014;7005;ANO 2011;2144;24.31
2010;81;Volte Pr.Blok www.cibulka.net;35;0.20
2014;1013;TOP 09 a nezávislí;777;8.45
2014;1009;Úsvit přímé demokracie;197;2.48
2010;27;Suverenita-blok J.Bobošíkové;223;1.66
2014;5005;DOMOV;13;0.13
2010;2;Volte Pr.Blok www.cibulka.net;13;0.14
2002;36;NEZÁVISLÍ;668;6.49
2010;36;TOP 09 a nezávislí;1195;10.32
2014;5004;Občanská demokratická strana;672;9.56
2014;1001;DOMOV;47;0.51
2010;76;PARDUBÁCI;642;6.88
2006;62;Koal.pro Pard.,KDU-ČSL+Nestran;650;6.12
2014;1006;TOP 09 a nezávislí;695;7.69
2010;73;PERNŠTEJN -pol.str.ALTERNATIVA;68;0.65
2006;69;Zelená pro Pardubice;559;4.36
2010;3;Česká str.sociálně demokrat.;2005;21.16
2010;48;Věci veřejné (VV);306;2.44
2002;10;Unie svobody-Demokratická unie;107;1.09
2006;21;Koal.pro Pard.,KDU-ČSL+Nestran;839;7.05
2018;6006;NAŠE PARDUBICE;6;0.21
2002;3;Naděje;233;2.19
2002;68;Občanská demokratická strana;4140;31.18
2018;6003;NAŠE PARDUBICE;728;3.56
2006;26;Občanská demokratická strana;3689;34.95
2014;4002;Česká str.sociálně demokrat.;986;9.56
2010;37;SDRUŽENÍ PRO PARDUBICE;1314;14.84
2018;3003;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;8;0.10
2014;2002;Pard. pro lidi a Souk SsČR,PPL;270;3.35
2014;3003;Komunistická str.Čech a Moravy;423;6.13
2018;5008;Česká pirátská strana;1243;12.33
2018;2001;NAŠE PARDUBICE;529;4.02
2010;45;TOP 09 a nezávislí;560;6.34
2018;1018;PRO Zdraví a Sport;52;0.47
2018;2009;PRO Zdraví a Sport;183;1.92
2002;20;Sdružení pro Pardubice;733;10.19
2018;3003;JAUNER Československo 2018;0;0.00
2002;22;Nezávislí Pardubičtí kandidáti;114;0.89
2010;46;Strana Práv Občanů ZEMANOVCI;440;2.79
2018;2017;ČSSD a nestran. pro Pardubice;1046;8.44
2010;79;Věci veřejné (VV);379;5.52
2002;17;Křesť.demokr.unie-Čs.str.lid.;1134;12.01
2010;25;Volte Pr.Blok www.cibulka.net;12;0.13
2010;36;Česká str.sociálně demokrat.;1836;15.85
2014;1008;Pard. pro lidi a Souk SsČR,PPL;94;1.48
2018;4004;Svob.a př.dem.-T.Okamura (SPD);152;2.10
2018;5013;Komunistická str.Čech a Moravy;239;3.62
2018;8001;Sdružení pro Pardubice;116;3.48
2006;36;NEZ.DEMOKRATÉ(předs.V.Železný);8;0.07
2002;3;Nezávislí Pardubičtí kandidáti;103;0.97
2014;5003;Občanská demokratická strana;813;13.26
2014;2001;Komunistická str.Čech a Moravy;487;4.66
2014;6004;Naše Pardubice, FairPlay,NK;106;0.87
2010;65;Suverenita-blok J.Bobošíkové;116;1.29
2002;61;Unie svobody-Demokratická unie;394;4.14
2014;3005;NEZÁVISLÍ;20;0.15
2014;1016;DOMOV;79;1.18
2014;5015;ANO 2011;1367;15.92
2018;6003;ČSSD a nestran. pro Pardubice;1151;5.62
2006;57;Sdružení pro Pardubice;4759;20.19
2010;38;Věci veřejné (VV);230;1.91
2006;20;Sdružení pro Pardubice;1576;19.58
2018;1008;Česká pirátská strana;1262;18.12
2014;3004;Sdružení pro Pard. - SNK ED,NK;559;7.40
2018;2017;PRO Zdraví a Sport;20;0.16
2006;50;Zelená pro Pardubice;680;7.20
2018;7002;Svob.a př.dem.-T.Okamura (SPD);320;2.10
2010;84;Volte Pr.Blok www.cibulka.net;10;0.25
2006;73;Občanská demokratická strana;3969;35.94
2014;3013;Úsvit přímé demokracie;169;1.29
2018;1020;NAŠE PARDUBICE;500;5.59
2010;65;Volte Pr.Blok www.cibulka.net;14;0.16
2014;4005;Strana zelených;126;0.92
2002;49;Křesť.demokr.unie-Čs.str.lid.;637;5.28
2014;7006;Strana zelených;2;0.08
2014;2013;PATRIOTI PARDUBIC, PATRIOTI,NK;709;6.89
2018;3003;Svob.a př.dem.-T.Okamura (SPD);321;4.19
2010;67;Suverenita-blok J.Bobošíkové;182;1.46
2018;2013;Svob.a př.dem.-T.Okamura (SPD);346;3.08
2010;52;SDRUŽENÍ PRO PARDUBICE;2642;16.73
2006;89;Koruna Česká (monarch.strana);2;0.02
2010;66;SDRUŽENÍ PRO PARDUBICE;2143;17.61
2014;2014;Občanská demokratická strana;672;9.03
2002;5;Občanská demokratická strana;3158;36.63
2018;1016;Česká pirátská strana;1576;20.60
2010;6;Zelená pro Pardubice (SZ, NK);154;1.39
2010;62;Koalice pro Pardubice;345;3.40
2010;27;Koalice pro Pardubice;885;6.59
2014;3010;DOMOV;60;0.52
2014;3005;Komunistická str.Čech a Moravy;467;3.41
2018;2007;JAUNER Československo 2018;0;0.00
2010;70;Zelená pro Pardubice (SZ, NK);240;2.06
2006;10;Sdružení pro Pardubice;1567;14.80
2002;46;Unie svobody-Demokratická unie;524;4.29
2014;1016;Komunistická str.Čech a Moravy;384;5.75
2014;5017;PARDUBÁCI,Sdružení ČSR, NK;579;5.00
2018;3007;Strana soukromníků ČR;74;0.57
2006;83;Sdružení pro Pardubice;1385;16.55
2006;18;Koal.pro Pard.,KDU-ČSL+Nestran;975;6.53
2018;2018;Svob.a př.dem.-T.Okamura (SPD);391;3.84
2018;5003;Koalice pro Pardubice;302;4.54
2014;1004;Svobodní, Strana svobod.občanů;246;2.94
2006;37;Česká str.sociálně demokrat.;2145;22.86
2018;2004;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;13;0.14
2002;76;Občanská demokratická strana;2538;28.69
2014;5013;Komunistická str.Čech a Moravy;639;10.66
2002;62;Křesť.demokr.unie-Čs.str.lid.;701;6.97
2014;2012;Sdružení pro Pard. - SNK ED,NK;769;8.89
2018;1019;PRO Zdraví a Sport;19;0.15
2014;1008;Strana zelených;142;2.23
2018;5014;Sdružení pro Pardubice;203;3.43
2010;59;Strana Práv Občanů ZEMANOVCI;182;1.23
2010;18;Strana Práv Občanů ZEMANOVCI;77;0.56
2006;53;Česká str.sociálně demokrat.;2182;18.12
2010;15;Česká str.sociálně demokrat.;2232;18.23
2018;2014;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;16;0.19
2010;34;PARDUBÁCI;628;7.68
2018;1004;Strana soukromníků ČR;3;0.03
2002;8;Unie svobody-Demokratická unie;265;8.28
2006;85;Občanská demokratická strana;358;16.64
2014;6003;Pard. pro lidi a Souk SsČR,PPL;2217;14.76
2002;45;Občanská demokratická strana;3947;40.44
2014;5007;Pard. pro lidi a Souk SsČR,PPL;99;1.18
2010;15;Suverenita-blok J.Bobošíkové;407;3.32
2010;57;Suverenita-blok J.Bobošíkové;277;1.16
2014;5009;Sdružení pro Pard. - SNK ED,NK;1162;12.18
2010;61;TOP 09 a nezávislí;821;6.33
2002;38;Pravý Blok;12;0.10
2014;3014;Sdružení pro Pard. - SNK ED,NK;1340;9.94
2002;45;Naděje;331;3.39
2018;3012;Česká pirátská strana;1737;12.00
2010;64;Strana Práv Občanů ZEMANOVCI;95;1.25
2010;49;Strana Práv Občanů ZEMANOVCI;167;1.27
2018;1012;JAUNER Československo 2018;0;0.00
2018;2011;Občanská demokratická strana;854;9.98
2002;19;Komunistická str.Čech a Moravy;889;7.77
2018;5006;ČSSD a nestran. pro Pardubice;718;7.43
2014;1012;PARDUBÁCI,Sdružení ČSR, NK;326;3.34
2010;31;Strana Práv Občanů ZEMANOVCI;66;0.83
2014;6005;Naše Pardubice, FairPlay,NK;7;0.19
2006;84;Koruna Česká (monarch.strana);6;0.15
2014;5008;TOP 09 a nezávislí;540;5.80
2018;2004;Pardubice pro lidi;303;3.33
2002;57;Křesť.demokr.unie-Čs.str.lid.;906;4.86
2006;17;NEZ.DEMOKRATÉ(předs.V.Železný);26;0.31
2014;6001;ZEMANOVCI, Sdružení SPO, NK;57;0.38
2002;52;NEZÁVISLÍ;366;2.78
2006;15;Komunistická str.Čech a Moravy;1499;11.54
2010;77;Volte Pr.Blok www.cibulka.net;25;0.23
2014;5011;Sdružení pro Pard. - SNK ED,NK;1451;13.07
2014;1005;Úsvit přímé demokracie;104;1.48
2006;19;Zelená pro Pardubice;1320;11.46
2018;2005;ANO 2011;3123;44.42
2006;51;Koruna Česká (monarch.strana);5;0.04
2014;6005;ANO 2011;789;21.50
2018;2008;Koalice pro Pardubice;628;6.85
2014;6002;PARDUBÁCI,Sdružení ČSR, NK;676;4.19
2018;3015;Koalice pro Pardubice;727;8.60
2006;8;Koruna Česká (monarch.strana);8;0.08
2018;3003;Komunistická str.Čech a Moravy;528;6.89
2006;62;Koruna Česká (monarch.strana);5;0.05
2010;46;Zelená pro Pardubice (SZ, NK);333;2.11
2018;5011;Koalice pro Pardubice;778;5.91
2014;4005;PATRIOTI PARDUBIC, PATRIOTI,NK;606;4.43
2014;6003;Komunistická str.Čech a Moravy;1325;8.82
2018;2018;JAUNER Československo 2018;0;0.00
2002;39;Komunistická str.Čech a Moravy;1407;6.86
2014;7004;Svobodní, Strana svobod.občanů;317;4.39
2002;67;Strana za životní jistoty;67;0.52
2014;3010;Občanská demokratická strana;1119;9.72
2014;2011;Strana zelených;72;1.05
2002;11;Nezávislí Pardubičtí kandidáti;74;0.57
2014;7001;Pard. pro lidi a Souk SsČR,PPL;715;4.48
2002;67;Česká str.sociálně demokrat.;2099;16.19
2018;1009;JAUNER Československo 2018;0;0.00
2006;76;Koruna Česká (monarch.strana);3;0.03
2010;36;PERNŠTEJN -pol.str.ALTERNATIVA;147;1.27
2014;3014;Koal. pro Pard., KDU-ČSL,NESTR;560;4.16
2002;3;NEZÁVISLÍ;700;6.57
2018;1003;JAUNER Československo 2018;1;0.01
2018;3004;Česká pirátská strana;960;11.34
2018;2008;NAŠE PARDUBICE;404;4.41
2014;5018;Pard. pro lidi a Souk SsČR,PPL;152;2.68
2018;7004;JAUNER Československo 2018;1;0.01
2006;82;Komunistická str.Čech a Moravy;1655;14.88
2002;41;Pravý Blok;21;0.17
2010;51;Koalice pro Pardubice;618;4.24
2002;91;Pravý Blok;1;0.04
2002;29;Unie svobody-Demokratická unie;663;4.75
2014;1010;Naše Pardubice, FairPlay,NK;281;3.04
2002;40;Unie svobody-Demokratická unie;525;4.88
2014;2008;Komunistická str.Čech a Moravy;749;9.02
2018;1007;ČSSD a nestran. pro Pardubice;318;4.23
2014;2013;Svobodní, Strana svobod.občanů;468;4.55
2006;26;Sdružení pro Pardubice;2048;19.40
2010;90;Komunistická str.Čech a Moravy;1082;10.56
2018;2008;Občanská demokratická strana;992;10.82
2006;18;Koruna Česká (monarch.strana);10;0.07
2018;7002;Pardubice pro lidi;864;5.67
2010;20;Koalice pro Pardubice;491;4.93
2018;4005;JAUNER Československo 2018;0;0.00
2018;2011;NAŠE PARDUBICE;415;4.85
2014;1013;Komunistická str.Čech a Moravy;847;9.21
2010;29;Strana Práv Občanů ZEMANOVCI;195;1.56
2014;3004;Pard. pro lidi a Souk SsČR,PPL;53;0.70
2006;66;Koruna Česká (monarch.strana);6;0.05
2006;35;Koal.pro Pard.,KDU-ČSL+Nestran;243;3.16
2010;50;Volte Pr.Blok www.cibulka.net;23;0.21
2018;2005;Komunistická str.Čech a Moravy;163;2.32
2018;1014;Koalice pro Pardubice;509;9.35
2018;6003;Strana soukromníků ČR;23;0.11
2010;61;PERNŠTEJN -pol.str.ALTERNATIVA;116;0.89
2014;5011;Úsvit přímé demokracie;262;2.36
2010;3;PARDUBÁCI;1104;11.65
2002;75;Pravý Blok;6;0.07
2006;24;Zelená pro Pardubice;933;9.13
2018;7006;Sdružení pro Pardubice;61;1.36
2014;3001;PATRIOTI PARDUBIC, PATRIOTI,NK;258;3.81
2018;3008;Svob.a př.dem.-T.Okamura (SPD);349;3.13
2018;5014;PRO Zdraví a Sport;133;2.24
2018;2010;PRO Zdraví a Sport;26;0.25
2014;2004;NEZÁVISLÍ;19;0.22
2014;1016;Koal. pro Pard., KDU-ČSL,NESTR;329;4.92
2006;6;Sdružení pro Pardubice;2175;18.54
2010;66;Česká str.sociálně demokrat.;2521;20.71
2002;61;Naděje;283;2.97
2006;12;Sdružení pro Pardubice;1941;13.76
2010;48;Koalice pro Pardubice;498;3.98
2014;7003;Úsvit přímé demokracie;68;0.31
2010;55;Česká str.sociálně demokrat.;3923;23.29
2018;2013;ČSSD a nestran. pro Pardubice;757;6.75
2018;5009;Sdružení pro Pardubice;568;5.62
2014;5004;ZEMANOVCI, Sdružení SPO, NK;6;0.09
2014;5001;Úsvit přímé demokracie;207;2.00
2006;31;Koal.pro Pard.,KDU-ČSL+Nestran;313;4.27
2002;88;Naděje;354;2.44
2010;1;Komunistická str.Čech a Moravy;633;5.64
2018;5007;Svob.a př.dem.-T.Okamura (SPD);291;3.18
2018;1002;Koalice pro Pardubice;580;7.65
2002;19;Nezávislí Pardubičtí kandidáti;156;1.36
2002;75;Naděje;105;1.16
2018;2003;PRO Zdraví a Sport;196;2.08
2014;2016;Česká str.sociálně demokrat.;1229;12.84
2002;33;Křesť.demokr.unie-Čs.str.lid.;487;4.55
2002;17;Pravý Blok;2;0.02
2018;7006;Svob.a př.dem.-T.Okamura (SPD);1;0.02
2018;1008;NAŠE PARDUBICE;178;2.56
2002;20;Křesť.demokr.unie-Čs.str.lid.;758;10.54
2018;4005;Česká pirátská strana;2113;12.40
2018;5001;Komunistická str.Čech a Moravy;426;3.70
2002;23;Naděje;313;4.42
2014;4002;Sdružení pro Pard. - SNK ED,NK;1127;10.92
2014;5018;ZEMANOVCI, Sdružení SPO, NK;0;0.00
2014;5017;Naše Pardubice, FairPlay,NK;415;3.59
2018;6005;Komunistická str.Čech a Moravy;310;6.86
2014;4003;Komunistická str.Čech a Moravy;748;5.87
2018;1015;ČSSD a nestran. pro Pardubice;1178;11.22
2002;39;Strana za životní jistoty;50;0.24
2006;48;Zelená pro Pardubice;1098;8.63
2014;2004;PARDUBÁCI,Sdružení ČSR, NK;315;3.72
2014;2016;Strana zelených;96;1.00
2014;5013;Úsvit přímé demokracie;168;2.80
2002;31;Unie svobody-Demokratická unie;580;6.81
2010;2;Koalice pro Pardubice;514;5.37
2010;33;Volte Pr.Blok www.cibulka.net;6;0.06
2014;3008;Pard. pro lidi a Souk SsČR,PPL;100;0.95
2002;80;Unie svobody-Demokratická unie;997;10.27
2010;16;SDRUŽENÍ PRO PARDUBICE;1802;19.95
2006;4;Sdružení pro Pardubice;1646;15.79
2014;7004;Strana zelených;246;3.40
2006;15;Občanská demokratická strana;4996;38.47
2010;79;Komunistická str.Čech a Moravy;476;6.94
2002;88;Unie svobody-Demokratická unie;258;1.78
2010;7;PARDUBÁCI;1562;16.14
2010;91;Občanská demokratická strana;223;10.05
2002;2;Nezávislí Pardubičtí kandidáti;147;1.60
2014;1014;Komunistická str.Čech a Moravy;653;11.50
2014;6006;ANO 2011;976;29.39
2014;8001;Česká str.sociálně demokrat.;361;17.07
2002;12;Sdružení pro Pardubice;1842;14.39
2014;2008;TOP 09 a nezávislí;492;5.93
2018;7006;Strana soukromníků ČR;2;0.04
2014;2007;Komunistická str.Čech a Moravy;609;7.89
2018;5018;PRO Zdraví a Sport;17;0.23
2010;64;Suverenita-blok J.Bobošíkové;190;2.49
2014;5013;Česká str.sociálně demokrat.;668;11.15
2010;51;Strana Práv Občanů ZEMANOVCI;425;2.92
2018;7006;JAUNER Československo 2018;0;0.00
2006;43;Koruna Česká (monarch.strana);3;0.02
2010;59;Zelená pro Pardubice (SZ, NK);327;2.21
2018;1016;ANO 2011;882;11.53
2002;64;Česká str.sociálně demokrat.;1209;14.79
2006;53;Občanská demokratická strana;4241;35.22
2002;77;Pravý Blok;8;0.09
2002;25;Nezávislí Pardubičtí kandidáti;104;1.35
2006;71;Koruna Česká (monarch.strana);4;0.03
2018;3002;ANO 2011;2261;25.01
2014;3002;ZEMANOVCI, Sdružení SPO, NK;2;0.02
2002;48;Česká str.sociálně demokrat.;1850;14.83
2014;1014;TOP 09 a nezávislí;479;8.44
2018;1007;JAUNER Československo 2018;0;0.00
2002;56;Nezávislí Pardubičtí kandidáti;33;0.42
2010;28;PERNŠTEJN -pol.str.ALTERNATIVA;120;1.16
2014;5017;TOP 09 a nezávislí;1377;11.90
2006;80;NEZ.DEMOKRATÉ(předs.V.Železný);2;0.02
2014;2004;TOP 09 a nezávislí;533;6.29
2014;3004;Občanská demokratická strana;487;6.45
2018;6006;JAUNER Československo 2018;0;0.00
2018;6002;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;40;0.22
2014;2005;ZEMANOVCI, Sdružení SPO, NK;30;0.42
2014;5012;ZEMANOVCI, Sdružení SPO, NK;6;0.08
2018;2019;Sdružení pro Pardubice;493;6.28
2002;53;Strana za životní jistoty;33;0.31
2018;1006;JAUNER Československo 2018;2;0.02
2018;7002;JAUNER Československo 2018;0;0.00
2002;33;Unie svobody-Demokratická unie;476;4.45
2002;28;Strana za životní jistoty;29;0.25
2006;40;Zelená pro Pardubice;519;5.27
2010;55;SDRUŽENÍ PRO PARDUBICE;4298;25.52
2014;2017;ANO 2011;2323;21.58
2014;3010;TOP 09 a nezávislí;622;5.40
2006;21;Česká str.sociálně demokrat.;1802;15.14
2010;83;Suverenita-blok J.Bobošíkové;705;5.81
2014;5018;TOP 09 a nezávislí;164;2.89
2010;28;TOP 09 a nezávislí;626;6.06
2014;6006;PATRIOTI PARDUBIC, PATRIOTI,NK;73;2.20
2010;47;TOP 09 a nezávislí;1492;10.55
2018;6001;Česká pirátská strana;1536;8.17
2002;79;Strana za životní jistoty;6;0.10
2018;3014;Sdružení pro Pardubice;1148;7.17
2010;20;Volte Pr.Blok www.cibulka.net;16;0.16
2002;70;Nezávislí Pardubičtí kandidáti;79;0.66
2018;2014;ČSSD a nestran. pro Pardubice;704;8.25
2010;79;SDRUŽENÍ PRO PARDUBICE;1733;25.25
2018;6005;Strana soukromníků ČR;11;0.24
2014;3004;ZEMANOVCI, Sdružení SPO, NK;56;0.74
2010;31;PERNŠTEJN -pol.str.ALTERNATIVA;110;1.39
2010;41;Občanská demokratická strana;1166;10.74
2002;38;Česká str.sociálně demokrat.;3169;26.32
2014;1002;ZEMANOVCI, Sdružení SPO, NK;3;0.04
2002;52;Unie svobody-Demokratická unie;688;5.23
2010;31;Koalice pro Pardubice;372;4.69
2018;5004;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;10;0.13
2006;1;Česká str.sociálně demokrat.;1279;11.72
2018;1011;Pardubice pro lidi;240;2.13
2010;35;Věci veřejné (VV);92;1.18
2018;2008;Česká pirátská strana;1046;11.41
2018;5008;Pardubáci společně;765;7.59
2002;68;Křesť.demokr.unie-Čs.str.lid.;284;2.14
2010;66;Koalice pro Pardubice;467;3.84
2014;1011;Pard. pro lidi a Souk SsČR,PPL;157;1.69
2006;20;Česká str.sociálně demokrat.;1197;14.87
2002;79;Komunistická str.Čech a Moravy;797;13.56
2006;47;NEZ.DEMOKRATÉ(předs.V.Železný);21;0.18
2010;31;Česká str.sociálně demokrat.;2841;35.84
2014;2002;PARDUBÁCI,Sdružení ČSR, NK;350;4.34
2018;1011;Pardubáci společně;1362;12.12
2014;1017;ANO 2011;980;16.43
2018;3015;NAŠE PARDUBICE;477;5.65
2018;6004;NAŠE PARDUBICE;512;3.59
2010;54;Věci veřejné (VV);371;2.74
2002;5;Naděje;193;2.24
2010;12;Zelená pro Pardubice (SZ, NK);332;2.32
2014;1014;Naše Pardubice, FairPlay,NK;175;3.08
2018;3012;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;18;0.12
2002;9;Nezávislí Pardubičtí kandidáti;100;1.00
2010;10;PARDUBÁCI;1222;9.71
2010;6;SDRUŽENÍ PRO PARDUBICE;1990;18.02
2018;1004;ČSSD a nestran. pro Pardubice;741;8.12
2018;2018;Koalice pro Pardubice;640;6.29
2010;45;Komunistická str.Čech a Moravy;940;10.64
2010;54;Česká str.sociálně demokrat.;2700;19.93
2014;3007;ZEMANOVCI, Sdružení SPO, NK;23;0.20
2018;2007;NAŠE PARDUBICE;141;1.67
2018;3011;Sdružení pro Pardubice;527;3.77
2014;1011;DOMOV;25;0.27
2010;30;Česká str.sociálně demokrat.;3484;29.93
2014;1019;Pard. pro lidi a Souk SsČR,PPL;166;1.89
2006;81;Zelená pro Pardubice;1141;17.93
2006;52;Občanská demokratická strana;4511;32.84
2010;68;Česká str.sociálně demokrat.;2662;22.57
2018;1012;ČSSD a nestran. pro Pardubice;764;6.56
2018;5014;NAŠE PARDUBICE;456;7.69
2002;62;Pravý Blok;14;0.14
2014;1010;Strana zelených;85;0.92
2010;45;SDRUŽENÍ PRO PARDUBICE;1183;13.39
2002;21;NEZÁVISLÍ;350;3.10
2002;15;NEZÁVISLÍ;438;3.36
2010;4;SDRUŽENÍ PRO PARDUBICE;1744;16.42
2002;57;Pravý Blok;16;0.09
2014;3012;Koal. pro Pard., KDU-ČSL,NESTR;655;4.75
2018;1006;Svob.a př.dem.-T.Okamura (SPD);306;3.02
2006;31;Koruna Česká (monarch.strana);1;0.01
2006;22;Občanská demokratická strana;1024;27.80
2006;69;Komunistická str.Čech a Moravy;1759;13.73
2010;85;PARDUBÁCI;46;1.78
2018;5005;ANO 2011;2669;26.66
2010;32;Věci veřejné (VV);417;4.40
2010;68;Komunistická str.Čech a Moravy;2752;23.33
2018;7004;Svob.a př.dem.-T.Okamura (SPD);599;8.19
2018;6002;Občanská demokratická strana;1898;10.56
2014;5002;Strana zelených;444;5.61
2018;1015;JAUNER Československo 2018;0;0.00
2006;1;Sdružení pro Pardubice;2532;23.21
2002;49;NEZÁVISLÍ;171;1.42
2018;3006;Strana soukromníků ČR;51;0.37
2014;2018;Občanská demokratická strana;681;7.37
2010;28;Strana Práv Občanů ZEMANOVCI;78;0.75
2010;39;TOP 09 a nezávislí;2128;9.69
2002;26;NEZÁVISLÍ;397;4.07
2018;5001;Pardubice pro lidi;140;1.21
2002;24;Česká str.sociálně demokrat.;1221;13.94
2018;2019;Pardubice pro lidi;264;3.36
2018;2012;Pardubáci společně;1147;12.44
2010;85;Zelená pro Pardubice (SZ, NK);134;5.18
2018;1015;NAŠE PARDUBICE;328;3.12
2010;81;TOP 09 a nezávislí;1695;9.60
2002;42;Česká str.sociálně demokrat.;1605;16.48
2018;3008;Komunistická str.Čech a Moravy;517;4.64
2002;90;Česká str.sociálně demokrat.;1777;21.97
2014;3006;Úsvit přímé demokracie;27;0.23
2018;1002;ANO 2011;1787;23.58
2006;4;Česká str.sociálně demokrat.;2493;23.92
2018;7003;Koalice pro Pardubice;1209;5.08
2018;7001;Česká pirátská strana;1696;11.15
2018;8001;Pardubice pro lidi;1321;39.57
2002;66;Komunistická str.Čech a Moravy;1943;15.49
2018;1022;Sdružení pro Pardubice;356;3.15
2010;78;Strana Práv Občanů ZEMANOVCI;110;0.90
2014;3015;Česká str.sociálně demokrat.;1090;13.15
2010;31;SDRUŽENÍ PRO PARDUBICE;858;10.83
2014;2003;NEZÁVISLÍ;57;0.56
2014;5008;Pard. pro lidi a Souk SsČR,PPL;62;0.67
2018;3002;Koalice pro Pardubice;623;6.89
2002;20;Komunistická str.Čech a Moravy;828;11.51
2002;90;Občanská demokratická strana;1771;21.89
2018;1003;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.15
